Sex,Age,Name,State,Address,Famsize,Pstatus,Medu,Fedu,Mjob,Fjob,Guardian,Math_Score,Reading_Score,Writing_Score,Attendance_Rate,Suspensions,Expulsions,Teacher_Support,Counseling,Social_Worker_Visits,Parental_Involvement,GPA
Female,15,Isabella Smith,Utah,Urban,LE3,A,College,College,Health,Health,Mother,40.0,50.0,50.0,60.0,2,20.0,Low,No,1,Low,2.5
Male,15,James Brown,Arizona,Rural,LE3,T,Graduate,Graduate,At_home,Teacher,Father,70.0,70.0,70.0,70.0,0,0.0,Medium,No,0,Medium,3.09459892
Female,15,Olivia Williams,Utah,Rural,LE3,T,Graduate,Graduate,Teacher,Teacher,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.084276855
Female,16,Amelia Jones,Utah,Rural,LE3,T,Graduate,Graduate,Health,Health,Other,70.0,60.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.064352871
Male,16,Logan Williams,California,Rural,GT3,T,Graduate,Graduate,At_home,Other,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.065313063
Female,16,Sophia Smith,Oregon,Urban,GT3,T,Graduate,Graduate,At_home,Health,Father,60.0,70.0,70.0,70.0,0,0.0,Medium,No,0,Medium,
Male,15,Noah Johnson,California,Rural,LE3,T,Graduate,Graduate,Health,Health,Other,70.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.056911382
Female,16,Olivia Williams,Oregon,Rural,GT3,T,Graduate,Graduate,Health,At_home,Mother,,,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.057871574
Male,15,William Brown,Nevada,Rural,LE3,T,Graduate,Graduate,Other,Health,Other,60.0,60.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,3.071794359
Female,16,Amelia Smith,California,Urban,LE3,T,PostGraduate,PostGraduate,Other,Services,Other,100.0,100.0,90.0,90.0,0,0.0,High,No,0,High,
Male,17,William Brown,Utah,Urban,LE3,T,Graduate,Graduate,Teacher,Services,Father,70.0,,60.0,80.0,0,0.0,Medium,Yes,0,Medium,
Male,16,Liam Williams,Arizona,Rural,LE3,A,Graduate,Graduate,Teacher,Teacher,Father,70.0,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,3.074914983
Female,16,Charlotte Williams,Nevada,Rural,GT3,A,PostGraduate,PostGraduate,Services,Other,Mother,90.0,100.0,80.0,100.0,0,0.0,High,Yes,0,High,
Female,17,Emma Williams,Arizona,Rural,GT3,A,Graduate,Graduate,Other,Teacher,Father,70.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.054270854
Female,17,Isabella Williams,Utah,Urban,LE3,A,Graduate,Graduate,Health,At_home,Mother,60.0,70.0,70.0,80.0,0,,Medium,No,0,Medium,3.073714743
Male,17,Oliver Williams,Nevada,Rural,LE3,T,Graduate,Graduate,Other,Health,Mother,60.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.072514503
Male,17,Oliver Smith,Utah,Rural,GT3,A,PostGraduate,PostGraduate,Teacher,Teacher,Mother,100.0,90.0,80.0,90.0,0,0.0,High,No,0,High,
Female,16,Ava Jones,Oregon,Urban,GT3,A,PostGraduate,PostGraduate,Teacher,Health,Other,80.0,,80.0,90.0,0,0.0,High,Yes,0,High,3.490918184
Male,17,Lucas Johnson,Nevada,Rural,LE3,A,Graduate,Graduate,Teacher,Teacher,Father,70.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.153410682
Male,16,Benjamin Johnson,California,Rural,GT3,A,Graduate,Graduate,Health,Health,Father,70.0,60.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,3.084996999
Female,17,Sophia Williams,Nevada,Rural,GT3,A,Graduate,Graduate,At_home,Teacher,Mother,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,
Male,15,Benjamin Johnson,Utah,Rural,GT3,T,PostGraduate,PostGraduate,Teacher,Services,Father,100.0,100.0,100.0,90.0,0,0.0,High,No,0,High,3.588857772
Male,15,Logan Williams,California,Rural,LE3,A,PostGraduate,PostGraduate,Other,At_home,Mother,100.0,80.0,90.0,90.0,0,0.0,High,Yes,0,High,3.381456291
Male,18,Liam Johnson,Nevada,Rural,GT3,A,PostGraduate,PostGraduate,At_home,Teacher,Father,80.0,100.0,80.0,100.0,0,0.0,High,No,0,High,3.431626325
Female,16,Amelia Smith,Nevada,Rural,GT3,T,PostGraduate,PostGraduate,Other,Services,Other,70.0,80.0,100.0,100.0,0,0.0,High,No,0,High,3.589337868
Male,16,James Johnson,Utah,Rural,GT3,A,PostGraduate,PostGraduate,Teacher,Other,Father,100.0,90.0,100.0,90.0,0,0.0,High,No,0,High,3.378575715
Female,17,Emma Williams,Arizona,Urban,GT3,T,PostGraduate,PostGraduate,Health,Teacher,Mother,,90.0,80.0,90.0,0,0.0,High,Yes,0,High,3.678635727
Male,15,Mason Williams,Arizona,Rural,GT3,A,Graduate,Graduate,At_home,Health,Other,70.0,,70.0,80.0,0,0.0,Medium,No,0,Medium,3.056431286
Male,15,Elijah Brown,Utah,Rural,LE3,T,Graduate,Graduate,At_home,At_home,Father,60.0,60.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,3.06075215
Male,15,Benjamin Smith,Utah,Rural,GT3,T,Graduate,Graduate,Teacher,Services,Other,60.0,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,
Male,15,Elijah Brown,Oregon,Urban,GT3,T,PostGraduate,PostGraduate,Teacher,Services,Mother,80.0,90.0,100.0,100.0,0,0.0,High,No,0,High,3.520204041
Male,15,William Jones,California,Rural,GT3,A,Graduate,Graduate,Teacher,At_home,Mother,60.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.082836567
Female,15,Isabella Smith,Nevada,Urban,GT3,A,Graduate,Graduate,Services,Teacher,Father,70.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.075155031
Male,16,James Smith,Oregon,Rural,LE3,T,Graduate,Graduate,Health,Health,Mother,,70.0,70.0,70.0,0,0.0,Medium,No,0,Medium,3.075635127
Male,15,Elijah Brown,Oregon,Urban,LE3,T,Graduate,Graduate,Health,Other,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.072274455
Male,17,Lucas Jones,Utah,Urban,LE3,T,Graduate,Graduate,Teacher,Teacher,Mother,70.0,60.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.071554311
Male,15,Logan Brown,Utah,Urban,GT3,T,PostGraduate,PostGraduate,Services,At_home,Mother,70.0,80.0,80.0,100.0,0,0.0,High,No,0,High,3.276555311
Female,16,Sophia Smith,Arizona,Rural,GT3,T,Graduate,Graduate,Teacher,Teacher,Mother,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.080196039
Male,16,Benjamin Smith,Oregon,Rural,LE3,T,Graduate,Graduate,Teacher,Teacher,Father,70.0,60.0,70.0,80.0,0,0.0,Medium,No,0,Medium,3.079715943
Male,15,William Brown,Nevada,Urban,LE3,T,PostGraduate,PostGraduate,Health,At_home,Father,90.0,,80.0,90.0,0,0.0,High,Yes,0,High,
Male,16,Lucas Brown,Nevada,Rural,LE3,T,PostGraduate,PostGraduate,Services,At_home,Father,,80.0,80.0,100.0,0,0.0,High,No,0,High,3.688477696
Male,15,Lucas Johnson,California,Urban,LE3,T,Graduate,Graduate,Health,Other,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,No,0,Medium,3.077075415
Female,15,Ava Johnson,Oregon,Rural,LE3,T,Graduate,Graduate,Teacher,At_home,Mother,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.059791958
Female,15,Isabella Brown,Arizona,Rural,LE3,A,PostGraduate,PostGraduate,Other,At_home,Other,,100.0,80.0,90.0,0,0.0,High,Yes,0,High,3.35025005
Male,16,Mason Jones,Nevada,Urban,GT3,T,PostGraduate,PostGraduate,At_home,At_home,Father,80.0,90.0,,100.0,0,0.0,High,Yes,0,High,3.409781956
Male,15,Noah Brown,Oregon,Urban,GT3,A,Graduate,Graduate,Teacher,Services,Mother,60.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,3.055711142
Male,15,Elijah Williams,California,Rural,LE3,T,Graduate,Graduate,Services,At_home,Mother,70.0,70.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,3.064112823
Male,17,Lucas Smith,Utah,Urban,GT3,A,Graduate,Graduate,Other,At_home,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,3.063392679
Male,16,Logan Johnson,California,Urban,GT3,T,PostGraduate,PostGraduate,Services,At_home,Father,70.0,80.0,90.0,100.0,0,0.0,High,No,0,High,3.594378876
Female,19,Evelyn Smith,Arizona,Rural,LE3,A,Graduate,Graduate,Teacher,Other,Mother,70.0,70.0,,70.0,0,0.0,Medium,Yes,0,Medium,3.088357672
Female,15,Amelia Jones,Utah,Urban,LE3,T,PostGraduate,PostGraduate,Teacher,Teacher,Father,100.0,100.0,90.0,90.0,0,0.0,High,No,0,High,3.479875975
Male,15,Benjamin Williams,Arizona,Rural,GT3,T,PostGraduate,PostGraduate,At_home,At_home,Father,80.0,90.0,90.0,100.0,0,0.0,High,Yes,0,High,3.450110022
Male,18,Liam Johnson,Nevada,Rural,GT3,T,PostGraduate,PostGraduate,Services,At_home,Other,90.0,100.0,100.0,100.0,0,,High,Yes,0,High,3.436907381
Male,16,Lucas Brown,Nevada,Urban,GT3,A,Graduate,Graduate,Other,Other,Other,,60.0,,80.0,0,0.0,Medium,No,0,Medium,
Female,17,Mia Smith,Arizona,Urban,LE3,T,Graduate,Graduate,At_home,Teacher,Father,70.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.948169634
Male,15,Lucas Brown,Nevada,Urban,GT3,T,Graduate,Graduate,Services,Other,Other,60.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.953210642
Male,15,James Johnson,Oregon,Rural,LE3,T,Graduate,Graduate,Teacher,Health,Other,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,
Female,16,Olivia Williams,Arizona,Urban,LE3,A,Graduate,Graduate,At_home,Health,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.95225045
Female,16,Charlotte Williams,Arizona,Rural,GT3,A,Graduate,Graduate,Teacher,Health,Mother,70.0,60.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,
Male,15,Lucas Smith,Oregon,Urban,LE3,T,Graduate,Graduate,Health,At_home,Mother,70.0,60.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.951770354
Male,15,William Williams,Oregon,Urban,LE3,T,Graduate,Graduate,Health,Other,Mother,,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,
Male,15,Liam Johnson,Oregon,Rural,LE3,A,Graduate,Graduate,At_home,At_home,Mother,60.0,60.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.950570114
Male,16,Logan Brown,Arizona,Urban,GT3,A,Graduate,Graduate,At_home,Health,Other,70.0,60.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,
Female,15,Sophia Williams,California,Urban,GT3,T,Graduate,Graduate,Services,Teacher,Other,60.0,70.0,60.0,,0,,Medium,No,0,Medium,2.94984997
Female,17,Sophia Jones,Oregon,Rural,GT3,T,PostGraduate,PostGraduate,Other,Teacher,Father,100.0,80.0,,100.0,0,0.0,High,Yes,0,High,3.324564913
Male,17,Noah Jones,California,Urban,LE3,T,Graduate,Graduate,Other,Other,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.935447089
Female,16,Ava Smith,Arizona,Urban,GT3,A,Graduate,Graduate,Health,Teacher,Mother,70.0,70.0,70.0,80.0,0,0.0,Medium,No,0,Medium,2.942168434
Male,15,Mason Smith,Arizona,Rural,LE3,A,PostGraduate,PostGraduate,Health,Health,Mother,100.0,80.0,100.0,100.0,0,0.0,High,Yes,0,High,3.432826565
Female,16,Charlotte Johnson,Oregon,Urban,GT3,T,PostGraduate,PostGraduate,Health,Other,Father,,80.0,80.0,90.0,0,0.0,High,Yes,0,High,3.41170234
Male,16,Elijah Jones,Arizona,Urban,LE3,A,PostGraduate,PostGraduate,Teacher,Other,Father,80.0,80.0,80.0,100.0,0,0.0,High,Yes,0,High,3.347129426
Male,16,Lucas Brown,Oregon,Rural,GT3,A,Graduate,Graduate,Other,Health,Mother,,60.0,70.0,70.0,0,0.0,Medium,No,0,Medium,2.965933187
Female,15,Ava Brown,Oregon,Urban,GT3,T,PostGraduate,PostGraduate,At_home,Health,Other,100.0,80.0,100.0,100.0,17,0.0,High,No,0,High,3.28879776
Female,17,Evelyn Smith,Utah,Urban,LE3,T,PostGraduate,PostGraduate,Health,Health,Other,100.0,90.0,80.0,90.0,0,0.0,High,No,0,High,3.288317664
Female,16,Harper Smith,Utah,Urban,LE3,T,Graduate,Graduate,Services,Health,Other,70.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,2.964012803
Female,15,Emma Smith,California,Rural,GT3,A,PostGraduate,PostGraduate,At_home,Other,Other,90.0,80.0,80.0,100.0,0,0.0,High,No,0,High,3.286637327
Female,16,Harper Brown,Utah,Urban,GT3,A,Graduate,Graduate,At_home,Teacher,Other,60.0,70.0,70.0,70.0,0,0.0,Medium,No,0,Medium,2.968093619
Male,15,Mason Williams,Utah,Rural,LE3,T,PostGraduate,PostGraduate,At_home,Health,Father,90.0,80.0,80.0,90.0,0,,High,Yes,0,High,3.290478096
Male,15,Elijah Jones,Nevada,Urban,GT3,A,Graduate,Graduate,Other,Services,Father,60.0,70.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.972414483
Female,15,Mia Williams,California,Urban,LE3,A,Graduate,Graduate,Health,Other,Mother,70.0,60.0,,80.0,0,0.0,Medium,No,0,Medium,2.970734147
Male,16,William Williams,Utah,Urban,LE3,A,PostGraduate,PostGraduate,Services,At_home,Father,80.0,90.0,100.0,90.0,0,0.0,High,Yes,0,High,
Male,15,James Johnson,Nevada,Urban,LE3,A,PostGraduate,PostGraduate,Teacher,Teacher,Father,100.0,80.0,100.0,90.0,0,0.0,High,No,0,High,
Male,16,Noah Jones,California,Urban,LE3,T,Graduate,Graduate,Services,Other,Father,70.0,,70.0,80.0,0,,Medium,Yes,0,Medium,2.969533907
Male,17,Noah Williams,Arizona,Urban,LE3,A,PostGraduate,PostGraduate,Services,Health,Father,100.0,90.0,100.0,100.0,0,0.0,High,Yes,0,High,3.277515503
Female,16,Olivia Williams,Oregon,Urban,LE3,T,Graduate,Graduate,Services,Services,Mother,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.963292659
Male,15,Benjamin Jones,Arizona,Urban,LE3,A,PostGraduate,PostGraduate,Teacher,At_home,Father,90.0,80.0,80.0,90.0,0,0.0,High,No,0,High,3.571334267
Male,16,Mason Jones,Utah,Urban,LE3,T,Graduate,Graduate,Services,Teacher,Father,70.0,60.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.957771554
Male,15,Oliver Jones,Nevada,Rural,LE3,A,Graduate,Graduate,Services,Health,Mother,70.0,70.0,60.0,80.0,0,,Medium,No,0,Medium,2.957531506
Male,15,Noah Jones,Nevada,Urban,LE3,T,PostGraduate,PostGraduate,Health,Other,Father,100.0,90.0,,100.0,0,0.0,High,No,0,High,3.572774555
Female,17,Mia Jones,Utah,Rural,LE3,T,PostGraduate,PostGraduate,Health,Other,Mother,100.0,100.0,100.0,90.0,0,0.0,High,Yes,0,High,3.280396079
Male,16,Elijah Johnson,Oregon,Rural,LE3,A,PostGraduate,PostGraduate,Health,Teacher,Other,90.0,80.0,,90.0,0,0.0,High,Yes,0,High,3.513002601
Male,15,Logan Jones,Nevada,Urban,LE3,A,Graduate,Graduate,At_home,Services,Other,60.0,,70.0,70.0,0,0.0,Medium,Yes,0,Medium,2.958491698
Male,15,Noah Williams,California,Rural,LE3,T,PostGraduate,PostGraduate,Services,Health,Father,100.0,90.0,100.0,90.0,0,0.0,High,Yes,0,High,3.316883377
Female,18,Harper Johnson,Arizona,Rural,LE3,A,PostGraduate,PostGraduate,Other,Teacher,Father,100.0,80.0,80.0,90.0,0,0.0,High,Yes,0,High,3.300080016
Female,15,Sophia Johnson,Utah,Rural,LE3,T,Graduate,Graduate,Other,Teacher,Father,,60.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,2.913602721
Male,15,James Williams,Oregon,Rural,GT3,T,Graduate,Graduate,Other,Other,Father,,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.906161232
Male,15,William Jones,Nevada,Urban,GT3,T,Graduate,Graduate,Teacher,Teacher,Other,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.905681136
Female,15,Harper Williams,Nevada,Rural,LE3,T,Graduate,Graduate,Health,At_home,Other,60.0,70.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,2.905441088
Male,15,Liam Smith,Nevada,Urban,GT3,A,PostGraduate,PostGraduate,Health,At_home,Father,80.0,90.0,90.0,100.0,0,0.0,High,Yes,0,High,3.303440688
Female,17,Sophia Jones,Nevada,Rural,GT3,A,Graduate,Graduate,Health,Health,Mother,60.0,70.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,2.913362673
Male,15,Liam Johnson,Nevada,Rural,GT3,A,Graduate,Graduate,Teacher,Teacher,Mother,60.0,,,80.0,0,0.0,Medium,Yes,0,Medium,2.913122625
Male,15,Noah Williams,California,Rural,LE3,A,PostGraduate,PostGraduate,Services,Other,Other,70.0,90.0,90.0,100.0,0,0.0,High,Yes,0,High,3.685117023
Female,15,Ava Johnson,California,Urban,LE3,A,Graduate,Graduate,At_home,Health,Mother,70.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.912642529
Male,15,Noah Jones,Oregon,Urban,LE3,T,Graduate,Graduate,Health,Services,Father,,,70.0,70.0,0,,Medium,Yes,0,Medium,2.912162432
Male,15,Benjamin Jones,Oregon,Urban,GT3,A,Graduate,Graduate,Services,Other,Father,60.0,60.0,,80.0,0,0.0,Medium,No,0,Medium,2.910962192
Male,15,Noah Brown,Nevada,Urban,GT3,A,PostGraduate,PostGraduate,Other,Services,Father,70.0,100.0,90.0,100.0,0,0.0,High,Yes,0,High,3.365373075
Female,15,Ava Jones,California,Rural,LE3,A,Graduate,Graduate,At_home,Health,Father,70.0,70.0,70.0,80.0,0,0.0,Medium,No,0,Medium,2.9040008
Female,15,Amelia Williams,Oregon,Urban,GT3,T,Graduate,Graduate,Other,At_home,Father,60.0,70.0,60.0,80.0,0,0.0,Medium,No,0,Medium,2.903520704
Male,18,Logan Jones,Utah,Rural,GT3,A,Graduate,Graduate,Services,Other,Mother,70.0,60.0,60.0,80.0,0,0.0,Medium,Yes,0,Medium,2.896559312
Male,15,Oliver Jones,Nevada,Urban,LE3,A,Graduate,Graduate,Services,Other,Mother,70.0,60.0,,80.0,0,0.0,Medium,Yes,0,Medium,2.895119024
Male,15,Noah Smith,Nevada,Rural,GT3,A,PostGraduate,PostGraduate,Other,Health,Other,100.0,90.0,100.0,90.0,0,0.0,High,Yes,0,High,3.368013603
Male,15,Noah Brown,Oregon,Rural,GT3,A,Graduate,Graduate,At_home,Other,Other,60.0,60.0,60.0,80.0,14,0.0,Medium,No,0,Medium,2.896079216
Female,16,Evelyn Jones,Utah,Urban,LE3,A,PostGraduate,PostGraduate,Other,Other,Mother,70.0,90.0,100.0,100.0,0,0.0,High,Yes,0,High,
Female,18,Evelyn Johnson,Utah,Rural,GT3,T,PostGraduate,PostGraduate,Other,Health,Mother,80.0,100.0,90.0,90.0,0,0.0,High,Yes,0,High,
Female,15,Amelia Johnson,Oregon,Rural,LE3,A,Graduate,Graduate,Other,Teacher,Other,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.900640128
Male,15,Mason Jones,Oregon,Rural,LE3,A,PostGraduate,PostGraduate,At_home,Health,Father,100.0,100.0,100.0,90.0,0,0.0,High,No,0,High,3.388417684
Male,16,William Johnson,Nevada,Rural,LE3,A,Graduate,Graduate,Teacher,Other,Other,70.0,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.924884977
Female,16,Amelia Johnson,Utah,Rural,LE3,T,PostGraduate,PostGraduate,At_home,Health,Other,70.0,80.0,90.0,100.0,0,0.0,High,Yes,0,High,3.39129826
Male,20,Lucas Johnson,Oregon,Urban,LE3,A,PostGraduate,PostGraduate,Other,Other,Mother,80.0,90.0,100.0,90.0,0,0.0,High,Yes,0,High,3.454430886
Male,15,Lucas Brown,Utah,Urban,LE3,A,Graduate,Graduate,Health,Services,Other,70.0,60.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.930166033
Female,15,Charlotte Williams,Utah,Rural,LE3,T,Graduate,Graduate,Health,Services,Other,70.0,,,80.0,17,0.0,Medium,Yes,0,Medium,3.134926985
Male,15,Logan Johnson,Nevada,Rural,GT3,A,Graduate,Graduate,Services,At_home,Mother,60.0,70.0,60.0,70.0,0,15.0,Medium,Yes,0,Medium,2.929685937
Female,15,Emma Brown,Oregon,Urban,LE3,T,Graduate,Graduate,Teacher,Health,Father,60.0,60.0,,80.0,0,0.0,Medium,Yes,0,Medium,
Male,15,Logan Brown,California,Urban,GT3,A,Graduate,Graduate,Services,Health,Father,,70.0,,80.0,0,0.0,Medium,No,0,Medium,2.923684737
Male,16,James Johnson,Utah,Urban,GT3,T,Graduate,Graduate,Services,Services,Father,60.0,60.0,60.0,70.0,0,0.0,Medium,No,0,Medium,2.923444689
Male,15,James Jones,Arizona,Rural,LE3,T,Graduate,Graduate,Health,Services,Mother,70.0,60.0,60.0,80.0,0,0.0,Medium,No,0,Medium,
Male,15,William Williams,California,Rural,GT3,T,PostGraduate,PostGraduate,At_home,Services,Other,100.0,80.0,80.0,100.0,0,0.0,High,No,0,High,3.591978396
Male,15,Lucas Smith,Oregon,Urban,LE3,T,Graduate,Graduate,Services,At_home,Father,70.0,70.0,70.0,70.0,0,0.0,Medium,Yes,0,Medium,2.915043009
Female,15,Amelia Johnson,Utah,Urban,LE3,A,Graduate,Graduate,Services,At_home,Other,70.0,70.0,60.0,70.0,0,0.0,Medium,Yes,0,Medium,2.914322865
Female,17,Olivia Jones,Utah,Urban,LE3,T,Graduate,Graduate,Teacher,Teacher,Mother,,60.0,,80.0,0,0.0,Medium,No,0,Medium,
Male,16,Logan Brown,California,Rural,LE3,T,Graduate,Graduate,Health,Health,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,No,0,Medium,2.919363873
Male,16,Elijah Johnson,Nevada,Rural,LE3,A,Graduate,Graduate,At_home,At_home,Father,60.0,70.0,70.0,80.0,0,0.0,Medium,Yes,0,Medium,3.169493899
Female,16,Harper Brown,California,Rural,LE3,A,PostGraduate,PostGraduate,Teacher,Other,Other,70.0,100.0,80.0,90.0,0,,High,Yes,0,High,3.559811962
Female,16,Isabella Brown,California,Urban,GT3,T,Graduate,Graduate,At_home,Health,Father,70.0,60.0,70.0,70.0,0,0.0,Medium,No,0,Medium,3.139487898
Male,15,Liam Jones,Nevada,Rural,GT3,T,PostGraduate,PostGraduate,At_home,Teacher,Mother,100.0,90.0,90.0,100.0,0,0.0,High,No,0,High,3.695919184
Female,15,Isabella Johnson,California,Urban,GT3,A,PostGraduate,PostGraduate,Services,Services,Other,70.0,90.0,100.0,90.0,0,0.0,High,No,0,High,3.572054411
